#,Player,Team,POS,G,H,2B,3B,HR,R,RBI,AVG,,,,
1,P. Goldschmidt,STL,1B,132,162,36,0,35,100,109,0.327,,,,
2,F. Freeman,LAD,1B,137,174,44,2,18,101,86,0.325,,,,
3,X. Bogaerts,BOS,SS,131,156,37,0,13,78,65,0.318,,,,
4,J. McNeil,NYM,3B,125,141,36,1,7,58,53,0.316,,,,
5,L. Arraez,MIN,2B,123,148,26,1,8,75,45,0.313,,,,
6,J. Abreu,CHW,1B,137,162,32,0,14,75,65,0.308,,,,
7,A. Judge,NYY,RF,136,154,23,0,55,112,120,0.307,,,,
8,T. Turner,LAD,SS,136,169,35,2,19,85,91,0.304,,,,
9,N. Lowe,TEX,1B,132,152,22,3,24,64,68,0.303,,,,
10,M. Machado,SD,3B,128,149,34,1,26,85,88,0.302,,,,
11,A. Gimenez,CLE,SS,123,124,23,2,15,52,60,0.302,,,,
12,J. Iglesias,COL,SS,114,127,30,0,3,48,47,0.3,,,,
13,A. Kirk,TOR,C,121,121,18,0,13,54,55,0.3,,,,
14,N. Arenado,STL,3B,129,147,37,1,28,67,90,0.299,,,,
15,A. Bohm,PHI,3B,129,146,22,3,10,72,64,0.294,,,,
16,Y. Diaz,TB,3B,124,127,32,0,8,65,51,0.293,,,,
17,S. Marte,NYM,CF,118,136,24,5,16,76,63,0.292,,,,
18,L. Gurriel Jr.,TOR,LF,121,132,32,1,5,52,52,0.291,,,,
19,Y. Alvarez,HOU,DH,114,115,19,2,31,78,82,0.29,,,,
20,S. Kwan,CLE,LF,123,133,21,5,3,67,37,0.288,,,,
21,N. Hoerner,CHC,SS,124,127,20,5,9,51,49,0.287,,,,
22,J. Altuve,HOU,2B,120,130,33,0,24,81,52,0.287,,,,
23,R. Devers,BOS,3B,120,137,37,1,25,74,73,0.287,,,,
24,A. Verdugo,BOS,RF,132,147,35,1,9,64,63,0.286,,,,
25,A. Riley,ATL,3B,136,151,36,2,35,80,89,0.284,,,,
26,D. Swanson,ATL,SS,138,154,30,1,19,90,82,0.284,,,,
27,A. Vaughn,CHW,LF,114,125,26,1,15,55,66,0.283,,,,
28,M. Betts,LAD,RF,119,135,32,3,33,106,74,0.278,,,,
29,T. France,SEA,3B,118,129,23,0,18,52,71,0.278,,,,
30,A. Rosario,CLE,SS,129,148,22,7,8,73,52,0.278,,,,
31,J. Turner,LAD,3B,111,112,32,0,11,54,73,0.277,,,,
32,V. Guerrero Jr.,TOR,1B,136,149,30,0,27,77,82,0.277,,,,
33,C. Correa,MIN,SS,113,119,18,1,19,61,54,0.277,,,,
34,J. Ramirez,CLE,3B,132,140,39,4,26,75,108,0.277,,,,
35,B. Bichette,TOR,SS,135,153,35,1,23,79,83,0.276,,,,
36,I. Happ,CHC,CF,135,135,38,2,16,63,65,0.274,,,,
37,J. Martinez,BOS,DH,118,125,37,0,11,63,51,0.274,,,,
38,J. Rojas,ARI,3B,105,104,21,1,8,59,47,0.273,,,,
39,J. Realmuto,PHI,C,118,116,23,5,16,64,73,0.273,,,,
40,R. Acuna Jr.,ATL,LF,99,106,20,0,11,61,39,0.272,,,,
41,M. Canha,NYM,RF,118,105,22,0,11,60,52,0.272,,,,
42,J. Rodriguez,SEA,RF,121,128,22,3,23,74,68,0.271,,,,
43,I. Kiner-Falefa,NYY,3B,125,115,19,0,3,59,45,0.271,,,,
44,R. Arozarena,TB,LF,132,136,36,2,19,62,76,0.27,,,,
45,R. Grichuk,COL,CF,122,118,20,2,15,54,64,0.269,,,,
46,K. Farmer,CIN,2B,119,117,23,1,10,53,64,0.268,,,,
47,P. Alonso,NYM,1B,138,138,24,0,33,76,108,0.267,,,,
48,T. Edman,STL,SS,135,137,28,4,13,87,54,0.267,,,,
49,S. Ohtani,LAA,SP,133,132,22,6,33,79,86,0.267,,,,
50,C. Cron,COL,1B,132,136,26,3,27,72,92,0.266,,,,
51,B. Rodgers,COL,SS,124,130,28,3,11,67,60,0.266,,,,
52,B. Nimmo,NYM,LF,130,134,27,6,13,84,50,0.266,,,,
53,A. Bregman,HOU,3B,132,124,34,0,20,82,78,0.266,,,,
54,G. Urshela,MIN,3B,119,110,23,3,11,46,53,0.266,,,,
55,F. Lindor,NYM,SS,138,141,20,4,21,82,89,0.265,,,,
56,N. Castellanos,PHI,RF,128,132,27,0,13,53,61,0.265,,,,
57,G. Springer,TOR,CF,110,112,18,3,19,73,58,0.264,,,,
58,S. Espinal,TOR,2B,124,111,24,0,7,46,46,0.263,,,,
59,T. Hernandez,TOR,RF,109,109,26,1,20,54,64,0.263,,,,
60,C. Mullins,BAL,CF,134,138,30,2,13,75,53,0.263,,,,
61,C. Blackmon,COL,CF,122,126,20,4,16,57,74,0.262,,,,
62,D. LeMahieu,NYY,2B,120,118,18,0,12,74,46,0.262,,,,
63,W. Smith,LAD,C,116,111,23,1,21,58,81,0.261,,,,
64,T. Ward,LAA,LF,111,106,15,2,18,59,50,0.261,,,,
65,K. Tucker,HOU,LF,127,119,24,1,24,62,88,0.259,,,,
66,T. Estrada,SF,SS,120,108,19,2,12,60,53,0.257,,,,
67,C. Yelich,MIL,RF,131,126,21,4,12,87,48,0.257,,,,
68,B. Reynolds,PIT,CF,121,115,15,4,21,59,50,0.256,,,,
69,H. Kim,SD,2B,128,111,25,3,8,49,51,0.254,,,,
70,H. Renfroe,MIL,RF,104,99,18,1,25,49,62,0.254,,,,
71,S. Murphy,OAK,C,127,116,31,1,18,58,63,0.253,,,,
72,J. Crawford,SEA,SS,124,115,22,2,6,53,37,0.253,,,,
73,A. Santander,BAL,RF,130,124,22,0,27,68,79,0.253,,,,
74,C. Hernandez,WAS,2B,132,129,27,4,1,61,32,0.252,,,,
75,R. Hoskins,PHI,1B,136,129,27,2,27,73,67,0.252,,,,
76,K. Ruiz,WAS,C,112,99,22,0,7,33,36,0.251,,,,
77,L. Thomas,WAS,CF,124,103,22,2,15,52,47,0.249,,,,
78,J. Pena,HOU,SS,114,109,17,1,17,56,47,0.249,,,,
79,A. Garcia,TEX,RF,132,129,26,4,22,74,84,0.248,,,,
80,C. Seager,TEX,SS,131,127,19,1,29,77,74,0.247,,,,
81,A. Hays,BAL,CF,123,114,30,1,15,58,54,0.247,,,,
82,R. McMahon,COL,2B,131,111,20,3,15,57,60,0.246,,,,
83,W. Contreras,CHC,C,107,97,22,2,21,63,54,0.246,,,,
84,B. Witt Jr.,KC,SS,128,123,23,6,20,69,71,0.246,,,,
85,J. Cronenworth,SD,2B,136,124,26,3,15,80,72,0.245,,,,
86,R. Mountcastle,BAL,1B,123,117,26,0,21,56,77,0.245,,,,
87,M. Olson,ATL,1B,138,130,41,0,28,74,90,0.244,,,,
88,A. McCutchen,MIL,RF,117,111,21,0,15,61,60,0.244,,,,
89,D. Varsho,ARI,C,126,109,20,3,24,67,68,0.243,,,,
90,K. Hayes,PIT,3B,115,105,20,3,6,45,36,0.243,,,,
91,C. Joe,COL,LF,106,94,19,4,6,53,26,0.242,,,,
92,M. Semien,TEX,2B,136,134,25,4,21,83,68,0.242,,,,
93,A. Pollock,CHW,CF,117,100,24,1,11,51,47,0.242,,,,
94,J. Profar,SD,LF,131,119,32,2,14,73,55,0.241,,,,
95,K. Marte,ARI,2B,119,104,36,2,10,61,46,0.24,,,,
96,D. Carlson,STL,RF,112,92,24,4,8,48,39,0.24,,,,
97,A. Frazier,SEA,2B,135,115,19,3,3,56,33,0.24,,,,
98,N. Lopez,KC,SS,128,97,12,4,0,50,18,0.24,,,,
99,N. Cruz,WAS,DH,121,104,16,0,10,50,64,0.238,,,,
100,Y. Gurriel,HOU,1B,125,110,35,0,7,47,43,0.238,,,,
101,G. Torres,NYY,SS,124,110,22,1,19,61,54,0.238,,,,
102,C. Walker,ARI,1B,135,114,20,1,32,73,78,0.237,,,,
103,M. Chapman,TOR,3B,131,109,26,1,24,72,66,0.237,,,,
104,H. Dozier,KC,3B,114,98,24,3,10,44,36,0.237,,,,
105,W. Flores,SF,1B,131,107,26,1,17,65,63,0.235,,,,
106,J. Polanco,MIN,SS,104,88,16,0,16,54,56,0.235,,,,
107,M. Rojas,MIA,SS,120,95,17,2,6,32,32,0.232,,,,
108,E. Escobar,NYM,SS,114,95,22,3,15,45,50,0.231,,,,
109,T. Kemp,OAK,2B,126,98,22,0,4,47,35,0.231,,,,
110,E. Suarez,SEA,3B,137,114,23,2,27,67,79,0.231,,,,
111,M. Kepler,MIN,CF,113,88,18,1,9,54,43,0.23,,,,
112,J. Baez,DET,SS,122,108,24,2,12,50,53,0.23,,,,
113,W. Adames,MIL,SS,117,108,25,0,26,71,79,0.229,,,,
114,S. Brown,OAK,1B,128,97,23,2,21,46,55,0.228,,,,
115,R. Tellez,MIL,1B,131,102,22,0,28,54,76,0.226,,,,
116,J. Mateo,BAL,SS,127,95,21,7,12,55,45,0.226,,,,
117,A. Rizzo,NYY,1B,117,93,19,1,30,71,71,0.225,,,,
118,J. Donaldson,NYY,3B,113,90,26,0,13,49,52,0.223,,,,
119,J. Winker,SEA,RF,122,92,15,0,13,45,48,0.221,,,,
120,M. Melendez,KC,C,106,82,16,2,15,43,52,0.221,,,,
121,M. Ozuna,ATL,LF,114,96,15,0,21,52,50,0.22,,,,
122,P. Wisdom,CHC,3B,117,89,25,0,22,60,58,0.217,,,,
123,J. Walsh,LAA,1B,118,91,18,2,15,41,44,0.215,,,,
124,K. Schwarber,PHI,LF,132,105,19,2,36,82,78,0.212,,,,
125,M. Yastrzemski,SF,RF,127,86,26,2,12,59,45,0.21,,,,
126,M. Straw,CLE,CF,128,92,18,2,0,58,25,0.203,,,,
127,J. Schoop,DET,2B,116,86,20,1,9,41,34,0.2,,,,
128,C. Bellinger,LAD,CF,122,86,22,3,17,61,55,0.197,,,,
129,M. Muncy,LAD,1B,114,77,17,1,19,60,57,0.197,,,,
130,G. Perdomo,ARI,SS,125,72,10,2,4,54,35,0.195,,,,
131,T. Grisham,SD,CF,134,79,15,2,17,55,52,0.191,,,,